Texto,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Mapping the venture capital and private equity research: a bibliometric review and future research agenda,Small Business Economics,,61,1,10.1007/s11187-022-00684-9,Douglas CummingSatish KumarWeng Marc LimNitesh Pandey,2023,http://link.springer.com/article/10.1007/s11187-022-00684-9,Article
Human-Centric Ontology Evaluation: Process and Tool Support,Knowledge Engineering and Knowledge Management,,,,10.1007/978-3-031-17105-5_14,Stefani TsanevaKlemens KäsznarMarta Sabou,2022,http://link.springer.com/chapter/10.1007/978-3-031-17105-5_14,Chapter
Design of an e-diploma system based on consortium blockchain and facial recognition,Education and Information Technologies,,27,4,10.1007/s10639-021-10840-5,Ching-Sheng HsuShu-Fen TuPei-Chia Chiu,2022,http://link.springer.com/article/10.1007/s10639-021-10840-5,Article
What Does It Take for Organizations to Adopt Massive Open Online Courses (MOOCs)? A Fuzzy DANP Analysis,Journal of the Knowledge Economy,,,,10.1007/s13132-023-01178-z,Reyhaneh BijaniaramMaryam TehraniRoohallah NooriJongwook Pak,2023,http://link.springer.com/article/10.1007/s13132-023-01178-z,Article
Examining the acceptance and use of online social networks by preservice teachers within the context of unified theory of acceptance and use of technology model,Journal of Computing in Higher Education,,31,1,10.1007/s12528-018-9200-6,Hatice Yildiz Durak,2019,http://link.springer.com/article/10.1007/s12528-018-9200-6,Article
Abstracts des 68. Kongresses der Deutschen Gesellschaft für Urologie e. V.,Der Urologe,,55,1,10.1007/s00120-016-0203-5,,2016,http://link.springer.com/article/10.1007/s00120-016-0203-5,Article
Self-regulated learning strategies and non-academic outcomes in higher education blended learning environments: A one decade review,Education and Information Technologies,,25,5,10.1007/s10639-020-10134-2,Lilian AnthonysamyAh-Choo KooSoon-Hin Hew,2020,http://link.springer.com/article/10.1007/s10639-020-10134-2,Article
Fairness in Classroom Assessment: A Systematic Review,The Asia-Pacific Education Researcher,,32,1,10.1007/s40299-021-00636-z,Ali BaniasadiKeyvan SalehiEbrahim KhodaieKhosrow Bagheri NoaparastBalal Izanloo,2023,http://link.springer.com/article/10.1007/s40299-021-00636-z,Article
SISMES VII NATIONAL CONGRESS,Sport Sciences for Health,,11,1,10.1007/s11332-015-0234-0,,2015,http://link.springer.com/article/10.1007/s11332-015-0234-0,Article
Road surface detection and differentiation considering surface damages,Autonomous Robots,,45,2,10.1007/s10514-020-09964-3,Thiago RatekeAldo von Wangenheim,2021,http://link.springer.com/article/10.1007/s10514-020-09964-3,Article
Climate change adaptation trends in small island developing states,Mitigation and Adaptation Strategies for Global Change,,22,4,10.1007/s11027-015-9693-5,Stacy-ann Robinson,2017,http://link.springer.com/article/10.1007/s11027-015-9693-5,Article
"62nd Annual Conference of the Indian Society of Gastroenterology, February 10th – 13th, 2022, Pune",Indian Journal of Gastroenterology,,41,1,10.1007/s12664-021-01234-z,,2022,http://link.springer.com/article/10.1007/s12664-021-01234-z,Article
Process Mining for Six Sigma,Business & Information Systems Engineering,,63,3,10.1007/s12599-020-00649-w,Teun GraafmansOktay TuretkenHans PoppelaarsDirk Fahland,2021,http://link.springer.com/article/10.1007/s12599-020-00649-w,Article
Abstractband DOG 2020,Der Ophthalmologe,,117,2,10.1007/s00347-020-01197-0,,2020,http://link.springer.com/article/10.1007/s00347-020-01197-0,Article
Posters,"Knee Surgery, Sports Traumatology, Arthroscopy",,16,1,10.1007/s00167-008-0548-4,,2008,http://link.springer.com/article/10.1007/s00167-008-0548-4,Article
Digitalization platform for data-driven quality management in multi-stage manufacturing systems,Journal of Intelligent Manufacturing,,,,10.1007/s10845-023-02162-9,Marc-André FilzJan Philipp BosseChristoph Herrmann,2023,http://link.springer.com/article/10.1007/s10845-023-02162-9,Article
Reinforcement learning infused intelligent framework for semantic web service composition,Applied Intelligence,,52,2,10.1007/s10489-021-02351-0,N. G. SwethaG. R. Karpagam,2022,http://link.springer.com/article/10.1007/s10489-021-02351-0,Article
Quality characteristics and measures for human–computer interaction evaluation in ubiquitous systems,Software Quality Journal,,25,3,10.1007/s11219-016-9320-z,Rainara Maia CarvalhoRossana Maria de Castro AndradeKáthia Marçal de OliveiraIsmayle de Sousa SantosCarla Ilane Moreira Bezerra,2017,http://link.springer.com/article/10.1007/s11219-016-9320-z,Article
Knowledge Transfer in Science Education: The Case for Usability-Based Knowledge Visualization Guidelines,"Responsible Design, Implementation and Use of Information and Communication Technology",,,,10.1007/978-3-030-45002-1_22,Olakumbi A. FadiranJudy van BiljonMarthie A. Schoeman,2020,http://link.springer.com/chapter/10.1007/978-3-030-45002-1_22,Chapter
Initial Coin Offerings: a Hybrid Empirical Review,Small Business Economics,,,,10.1007/s11187-022-00726-2,Muneer M. AlshaterMayank JoshipuraRim El KhouryNohade Nasrallah,2023,http://link.springer.com/article/10.1007/s11187-022-00726-2,Article
Exploring the challenges and benefits for scaling agile project management to large projects: a review,Requirements Engineering,,27,1,10.1007/s00766-021-00363-3,Paula de Oliveira SantosMarly Monteiro de Carvalho,2022,http://link.springer.com/article/10.1007/s00766-021-00363-3,Article
Role of Soft Computing Approaches in HealthCare Domain: A Mini Review,Journal of Medical Systems,,40,12,10.1007/s10916-016-0651-x,Shalini GambhirSanjay Kumar MalikYugal Kumar,2016,http://link.springer.com/article/10.1007/s10916-016-0651-x,Article
Applying DEMO-based SLAs to cloud services,Journal of Service Science Research,,5,2,10.1007/s12927-013-0003-z,Carlos MendesMário AlmeidaMiguel Mira da Silva,2013,http://link.springer.com/article/10.1007/s12927-013-0003-z,Article
UAV for 3D mapping applications: a review,Applied Geomatics,,6,1,10.1007/s12518-013-0120-x,Francesco NexFabio Remondino,2014,http://link.springer.com/article/10.1007/s12518-013-0120-x,Article
Investigating the Security Divide between SME and Large Companies: How SME Characteristics Influence Organizational IT Security Investments,Information Systems Frontiers,,21,6,10.1007/s10796-019-09959-1,Margareta HeidtJin P. GerlachPeter Buxmann,2019,http://link.springer.com/article/10.1007/s10796-019-09959-1,Article
Smartphone-based ecological momentary assessment and intervention in a coping-focused intervention for hearing voices (SAVVy): study protocol for a pilot randomised controlled trial,Trials,,19,1,10.1186/s13063-018-2607-6,Imogen H. BellSarah F. Fielding-SmithMark HaywardSusan L. RossellMichelle H. LimJohn FarhallNeil Thomas,2018,http://link.springer.com/article/10.1186/s13063-018-2607-6,Article
Poster Session,Journal of Orthopaedics and Traumatology,,10,1,10.1007/s10195-009-0066-2,,2009,http://link.springer.com/article/10.1007/s10195-009-0066-2,Article
Dynamic Strategies for Query Constructing and Rank Merging from Multiple Search Engines,Service Oriented and Cloud Computing,,,,10.1007/978-3-319-24072-5_10,Kobkaew OpasjumruskitBirgitta König-RiesJesús Expósito,2015,http://link.springer.com/chapter/10.1007/978-3-319-24072-5_10,Chapter
Change in the Making: Makerspaces and the Ever-Changing Landscape of Libraries,TechTrends,,59,3,10.1007/s11528-015-0860-z,Heather Moorefield-Lang,2015,http://link.springer.com/article/10.1007/s11528-015-0860-z,Article
A new risk-based measure of link criticality for flood risk planning,Transportation,,,,10.1007/s11116-023-10396-y,James L. SullivanKaren SentoffJoseph SegaleNorman L. MarshallEvan FitzgeraldRoy Schiff,2023,http://link.springer.com/article/10.1007/s11116-023-10396-y,Article
